United States,2884
Australia,2340
Russia,2156
Germany,2132
China,1923
Great Britain,1708
Italy,1679
France,1579
Japan,1502
Spain,1489
Canada,1466
South Korea,1362
Brazil,1178
Ukraine,1173
Netherlands,1090
Poland,1013
Greece,941
Hungary,923
Cuba,811
Belarus,784
New Zeland,746
Argentina,743
Sweden,698
Cazech Republic,643
Romania,624
Kazakhstan,583
South Africa,575
Denmark,506
Switzerland,496
Mexico,467
Croatia,459
Bulgaria,429
Egypt,425
Portugual,402
Norway,387
Belgium,386
Austria,378
Turkey,353
Slovakia,347
Nigeria,341
Chinese Taipei ,340
India,321
Uzbekistan,319
Slovenia,316
Lithuania,314
Venezuela,313
Colombia,313
Finland,312
Ireland,307
Serbia and Mont Energo,262
Tunisia,261
Morocco,254
Kenya,247
Algeria,247
Jamica,236
Latvia,216
Thailand,215
Serbia,203
North Korea,201
Estonia,197
Iran,194
Puerto Rico,188
Azerbaijan,186
Israel,180
Indonesia,171
Georgai,171
Malysia,162
Hong Kong,161
Moldova,156
Chile,154
Angola,153
Kyrgyzstan,144
Ethiopia,130
Cameroon,130
Armenia,124
Pakistan,119
Dominican Republic,119
Bahamas,119
Mongolia,113
Iceland,107
Ecuador,106
Trinidad and Tobago,103
Senegal,99
Ghana,99
Saudi Arabia,95
Singapore,92
Peru,91
Guatemala,90
Cyprus,89
Uraguay,83
Kuwait,83
Honduras,82
Mauritius,77
Qatar,76
Philippines,74
Uganda,60
Cotedâ€™ivoire,60
Costarica,57
Vietnam,55
Barbados,55
Tajikistan,52
Montenegro,52
Mali,52
Sri Lanka,49
Paraguay,49
Nicaragua,49
Fiji,47
United Arab Emirates,46
Nambia,46
Luxemdourg,45
Bahrain,45
Turkmenistan,44
El salvador,44
Madgascar,43
Iraq,43
Seychelles,42
Macedonia,42
Gabon,42
United states Virgin Islands,41
Botswana,40
Bermuda,39
Syria,38
Bosnnia and Herzegovina,38
Albania,38
Jordan,37
Papua New Guinea,35
Tanzania,34
Unified Team,33
Malta,32
Haiti,32
Bolivia,32
Panama,30
Nepal,30
Grenada,30
Antigua and Barduda,30
Andorra,30
Eritra,29
Congo kinshasa,29
Burundi,29
Lebanon,28
Samoa,27
Lesotho,27
Congo Brazzaville,27
Sudan,26
Libya,26
Rwanda,25
Guyana,25
Cayman Islands,25
Burkina Faco,25
Suriname,24
Sierra Leone,24
San Marino,24
Myanmar,24
Maldives,23
Guinea,23
Cambodia,23
Benin,23
Bangladesh,23
Swaziland,22
Saint Kitts Nevis,22
American Samoa,22
liberia,21
Togo,21
Saint Lucia,21
Niger,21
Mozambique,21
Monaco,21
Federated States of Micronesia,21
Central African Republic,21
Saint Vincent and The Grenadines,20
Laos,20
Cook Islands,20
Tonga,19
Palau,19
Oman,19
Netherlands antilles,19
Yemen,18
Gambia,18
Aruba,18
Vanuatu,17
Afghanistan,17
Giinea Bissau,16
Equatorial Guinea,16
Dominica,16
Belize,16
Solmon Islands,15
Palestine,15
Malawi,15
Comoros,15
Djibouti,13
Cape verde,13
British Virgin Island,13
Somalia,12
Mauritania,12
Sao Tome and Principe,11
Nauru,11
Chad,11
Liechtenstein,10
Bhutan,10
Marshall Islands,9
Kirivati,8
Individual olympic Athletes,8
Brunei,7
Tuvalu,6
Timor Leste,5
