Country,Total,lon,lat
Afghanistan,2,67.709953,33.93911
Albania,0,20.168331,41.153332
Algeria,11,1.659626,28.033886
American Samoa,0,-170.132217,-14.270972
Andorra,0,1.601554,42.546245
Angola,0,17.873887,-11.202692
Argentina,23,-63.616672,-38.416097
Armenia,12,45.038189,40.069099
Aruba,0,-69.968338,12.52111
Australia,230,133.775136,-25.274398
Austria,16,14.550072,47.516231
Azerbaijan,26,47.576927,40.143105
Bahamas,9,-77.39628,25.03428
Bahrain,1,50.637772,25.930414
Bangladesh,0,90.356331,23.684994
Barbados,1,-59.543198,13.193887
Belarus,75,27.953389,53.709807
Belgium,19,4.469936,50.503887
Belize,0,-88.49765,17.189877
Benin,0,2.315834,9.30769
Bermuda,0,-64.75737,32.321384
Bhutan,0,90.433601,27.514162
Bolivia,0,-63.588653,-16.290154
Botswana,1,24.684866,-22.328474
Brazil,69,-51.92528,-14.235004
Brunei,0,114.727669,4.535277
Bulgaria,47,25.48583,42.733883
Burundi,1,29.918886,-3.373056
Cambodia,0,104.990963,12.565679
Cameroon,3,12.354722,7.369722
Canada,85,-106.346771,56.130366
Cayman Islands,0,-80.566956,19.513469
Central African Republic,0,20.939444,6.611111
Chad,0,18.732207,15.454166
Chile,5,-71.542969,-35.675147
China,359,104.195397,35.86166
Colombia,13,-74.297333,4.570868
Comoros,0,43.872219,-11.875001
Cook Islands,0,-159.777671,-21.236736
Croatia,20,15.2,45.1
Cuba,119,-77.781167,21.521757
Cyprus,1,33.429859,35.126413
Denmark,36,9.501785,56.26392
Djibouti,0,42.590275,11.825138
Dominica,0,-61.370976,15.414999
Dominican Republic,5,-70.162651,18.735693
Ecuador,2,-78.183406,-1.831239
Egypt,8,30.802498,26.820553
Equatorial Guinea,0,10.267895,1.650801
Estonia,10,25.013607,58.595272
Ethiopia,32,40.489673,9.145
Fiji,0,179.414413,-16.578193
Finland,17,25.748151,61.92411
France,184,2.213749,46.227638
Gabon,1,11.609444,-0.803689
Gambia,0,-15.310139,13.443182
Germany,255,10.451526,51.165691
Great Britain,185,-3.435973,55.378051
Ghana,0,-1.023194,7.946527
Greece,43,21.824312,39.074208
Grenada,1,-61.604171,12.262776
Guatemala,1,-90.230759,15.783471
Guinea,0,-9.696645,9.945587
Guyana,0,-58.93018,4.860416
Haiti,0,-72.285215,18.971187
Honduras,0,-86.241905,15.199999
Hong Kong,3,114.109497,22.396428
Hungary,83,19.503304,47.162494
Iceland,2,-19.020835,64.963051
India,12,78.96288,20.593684
Indonesia,21,113.921327,-0.789275
Iran,27,53.688046,32.427908
Iraq,0,43.679291,33.223191
Ireland,13,-8.24389,53.41291
Israel,5,34.851612,31.046051
Italy,156,12.56738,41.87194
Japan,132,138.252924,36.204824
Jordan,0,36.238414,30.585164
Kazakhstan,52,66.923684,48.019573
Kenya,47,37.906193,-0.023559
Kuwait,2,47.481766,29.31166
Kyrgyzstan,3,74.766098,41.20438
Laos,0,102.495496,19.85627
Latvia,13,24.603189,56.879635
Lebanon,0,35.862285,33.854721
Lesotho,0,28.233608,-29.609988
Libya,0,17.228331,26.3351
Liechtenstein,0,9.555373,47.166
Lithuania,19,23.881275,55.169438
Malawi,0,34.301525,-13.254308
Maldives,0,73.22068,3.202778
Mali,0,-3.996166,17.570692
Malta,0,14.375416,35.937496
Marshall Islands,0,171.184478,7.131474
Mauritania,0,-10.940835,21.00789
Mauritius,1,57.552152,-20.348404
Mexico,21,-102.552784,23.634501
Moldova,7,28.369885,47.411631
Monaco,0,7.412841,43.750298
Mongolia,11,103.846656,46.862496
Montenegro,1,19.37439,42.708678
Morocco,13,-7.09262,31.791702
Mozambique,2,35.529562,-18.665695
Nauru,0,166.931503,-0.522778
Nepal,0,84.124008,28.394857
Netherlands,102,5.291266,52.132633
Nicaragua,0,-85.207229,12.865416
Niger,0,8.081666,17.607789
Nigeria,15,8.675277,9.081999
North Korea,26,127.510093,40.339852
Norway,36,8.468946,60.472024
Oman,0,55.923255,21.512583
Pakistan,0,69.345116,30.375321
Palau,0,134.58252,7.51498
Panama,1,-80.782127,8.537981
Papua New Guinea,0,143.95555,-6.314993
Paraguay,1,-58.443832,-23.442503
Peru,0,-75.015152,-9.189967
Philippines,1,121.774017,12.879721
Poland,61,19.145136,51.919438
Puerto Rico,3,-66.590149,18.220833
Qatar,3,51.183884,25.354826
Romania,82,24.96676,45.943161
Russia,397,105.318756,61.52401
Rwanda,0,29.873888,-1.940278
Saint Lucia,0,-60.978893,13.909444
Samoa,0,-172.104629,-13.759029
San Marino,0,12.457777,43.94236
Saudi Arabia,3,45.079162,23.885942
Senegal,0,-14.452362,14.497401
Serbia,7,21.005859,44.016521
Seychelles,0,55.491977,-4.679574
Sierra Leone,0,-11.779889,8.460555
Singapore,3,103.819836,1.352083
Slovakia,24,19.699024,48.669026
Slovenia,17,14.995463,46.151241
Somalia,0,46.199616,5.152149
South Africa,23,22.937506,-30.559482
South Korea,144,127.766922,35.907757
Spain,83,-3.74922,40.463667
Sri Lanka,1,80.771797,7.873054
Sudan,1,30.217636,12.862807
Suriname,0,-56.027783,3.919305
Swaziland,0,31.465866,-26.522503
Sweden,40,18.643501,60.128161
Switzerland,32,8.227512,46.818188
Syria,2,38.996815,34.802075
Tajikistan,3,71.276093,38.861034
Tanzania,0,34.888822,-6.369028
Thailand,20,100.992541,15.870032
Togo,1,0.824782,8.619543
Tonga,1,-175.198242,-21.178986
Trinidad and Tobago,11,-61.222503,10.691803
Tunisia,5,9.537499,33.886917
Turkey,35,35.243322,38.963745
Turkmenistan,0,59.556278,38.969719
Tuvalu,0,177.64933,-7.109535
Uganda,2,32.290275,1.373333
Ukraine,115,31.16558,48.379433
United Arab Emirates,1,53.847818,23.424076
United States,508,-95.712891,37.09024
Uzbekistan,20,64.585262,41.377491
Vanuatu,0,166.959158,-15.376706
Venezuela,4,-66.58973,6.42375
Vietnam,2,108.277199,14.058324
Yemen,0,48.516388,15.552727
