Afghanistan,Non-Democratic,Developing
Albania,Non-Democratic,Developing
Algeria,Non-Democratic,Developing
American Samoa,Non-Democratic,Developed
Andorra,Non-Democratic,Developed
Angola,Non-Democratic,Developing
Antigua and Barduda,Non-Democratic,Devloping
Argentina,Democratic,Developing
Armenia,Non-Democratic,Developing
Aruba,Non-Democratic,Developed
Australia,Democratic,Developed
Austria,Democratic,Developed
Azerbaijan,Non-Democratic,Developing
Bahamas,Non-Democratic,Developing
Bahrain,Non-Democratic,Developing
Bangladesh,Non-Democratic,Developing
Barbados,Non-Democratic,Developing
Belarus,Non-Democratic,Developing
Belgium,Democratic,Developed
Belize,Non-Democratic,Developing
Benin,Non-Democratic,Developing
Bermuda,Non-Democratic,Developed
Bhutan,Non-Democratic,Developing
Bolivia,Non-Democratic,Developing
Bosnnia and Herzegovina,Non-Democratic,Devloping
Botswana,Democratic,Developing
Brazil,Democratic,Developing
British Virgin Island,Non-Democratic,Developed
Brunei,Non-Democratic,Developing
Bulgaria,Democratic,Developing
Burkina Faco,Non-Democratic,Developed
Burundi,Non-Democratic,Developing
Cambodia,Non-Democratic,Developing
Cameroon,Non-Democratic,Developing
Canada,Democratic,Developed
Cape verde,Democratic,Developing
Cayman Islands,Non-Democratic,Developed
Cazech Republic,Democratic,Developed
Central African Republic,Non-Democratic,Developing
Chad,Non-Democratic,Developing
Chile,Democratic,Developing
China,Non-Democratic,Developing
Chinese Taipei ,Non-Democratic,Developed
Colombia,Democratic,Developing
Comoros,Non-Democratic,Developing
Congo Brazzaville,Non-Democratic,Developed
Congo kinshasa,Non-Democratic,Developed
Cook Islands,Non-Democratic,Developed
Costarica,Democratic,Developed
Cotedâ€™ivoire,Non-Democratic,Developed
Croatia,Democratic,Developing
Cuba,Non-Democratic,Developed
Cyprus,Democratic,Developed
Denmark,Democratic,Developed
Djibouti,Non-Democratic,Developing
Dominica,Non-Democratic,Developing
Dominican Republic,Democratic,Developing
Ecuador,Non-Democratic,Developing
Egypt,Non-Democratic,Developing
El salvador,Democratic,Devloping
Equatorial Guinea,Non-Democratic,Developing
Eritra,Non-Democratic,Developed
Estonia,Democratic,Developed
Ethiopia,Non-Democratic,Developing
Federated States of Micronesia,Non-Democratic,Developing
Fiji,Non-Democratic,Developing
Finland,Democratic,Developed
France,Democratic,Developed
Gabon,Non-Democratic,Developing
Gambia,Non-Democratic,Developed
Georgai,Non-Democratic,Developed
Germany,Democratic,Developed
Ghana,Democratic,Developing
Giinea Bissau,Non-Democratic,Devloping
Great Britain,Democratic,Developed
Greece,Democratic,Developed
Grenada,Non-Democratic,Developing
Guatemala,Non-Democratic,Developing
Guinea,Non-Democratic,Developing
Guyana,Democratic,Developing
Haiti,Non-Democratic,Developing
Honduras,Non-Democratic,Developing
Hong Kong,Democratic,Developed
Hungary,Democratic,Developing
Iceland,Democratic,Developed
India,Democratic,Developing
Individual olympic Athletes,Non-Democratic,Developed
Indonesia,Democratic,Developing
Iran,Non-Democratic,Developing
Iraq,Non-Democratic,Developing
Ireland,Democratic,Developed
Israel,Democratic,Developed
Italy,Democratic,Developed
Jamica,Democratic,Developing
Japan,Democratic,Developed
Jordan,Non-Democratic,Developing
Kazakhstan,Non-Democratic,Developing
Kenya,Non-Democratic,Developing
Kirivati,Non-Democratic,Developed
Kuwait,Non-Democratic,Developing
Kyrgyzstan,Non-Democratic,Developing
Laos,Non-Democratic,Developing
Latvia,Democratic,Developed
Lebanon,Non-Democratic,Developing
Lesotho,Democratic,Developing
Libya,Non-Democratic,Developing
Liechtenstein,Non-Democratic,Developed
Lithuania,Democratic,Developed
Luxemdourg,Democratic,Developed
Macedonia,Democratic,Developing
Madgascar,Non-Democratic,Developed
Malawi,Non-Democratic,Developing
Maldives,Non-Democratic,Developing
Mali,Non-Democratic,Developing
Malta,Democratic,Developed
Malysia,Democratic,Developed
Marshall Islands,Non-Democratic,Developing
Mauritania,Non-Democratic,Developing
Mauritius,Democratic,Developing
Mexico,Democratic,Developing
Moldova,Democratic,Developing
Monaco,Non-Democratic,Developed
Mongolia,Democratic,Developing
Montenegro,Democratic,Developing
Morocco,Non-Democratic,Developing
Mozambique,Non-Democratic,Developing
Myanmar,Non-Democratic,Developing
Nambia,Non-Democratic,Developed
Nauru,Non-Democratic,Developed
Nepal,Non-Democratic,Developing
Netherlands,Democratic,Developed
Netherlands antilles,Non-Democratic,Developed
New Zeland,Non-Democratic,Developed
Nicaragua,Non-Democratic,Developing
Niger,Non-Democratic,Developing
Nigeria,Non-Democratic,Developing
North Korea,Non-Democratic,Developed
Norway,Democratic,Developed
Oman,Non-Democratic,DevelopingDeveloping
Pakistan,Non-Democratic,Developing
Palau,Non-Democratic,Developing
Palestine,Non-Democratic,Developed
Panama,Democratic,Developing
Papua New Guinea,Democratic,Developing
Paraguay,Democratic,Developing
Peru,Democratic,Developing
Philippines,Democratic,Developing
Poland,Democratic,Developing
Portugual,Democratic,Developed
Puerto Rico,Non-Democratic,Developed
Qatar,Non-Democratic,Developing
Romania,Democratic,Developing
Russia,Non-Democratic,Developing
Rwanda,Non-Democratic,Developing
Saint Kitts Nevis,Non-Democratic,Devloping
Saint Lucia,Non-Democratic,Developing
Saint Vincent and The Grenadines,Non-Democratic,Devloping
Samoa,Non-Democratic,Developing
San Marino,Non-Democratic,Developed
Sao Tome and Principe,Non-Democratic,Developed
Saudi Arabia,Non-Democratic,Developing
Senegal,Democratic,Developing
Serbia,Democratic,Developing
Serbia and Mont Energo,Non-Democratic,Developed
Seychelles,Non-Democratic,Developing
Sierra Leone,Non-Democratic,Developing
Singapore,Democratic,Developed
Slovakia,Democratic,Developed
Slovenia,Democratic,Developed
Solmon Islands,Non-Democratic,Developing
Somalia,Non-Democratic,Developing
South Africa,Democratic,Developing
South Korea,Democratic,Developed
Spain,Democratic,Developed
Sri Lanka,Democratic,Developing
Sudan,Non-Democratic,Developing
Suriname,Democratic,Developing
Swaziland,Non-Democratic,Developing
Sweden,Democratic,Developed
Switzerland,Democratic,Developed
Syria,Non-Democratic,Developing
Tajikistan,Non-Democratic,Developing
Tanzania,Non-Democratic,Developing
Thailand,Non-Democratic,Developing
Timor Leste,Democratic,Developed
Togo,Non-Democratic,Developing
Tonga,Non-Democratic,Developing
Trinidad and Tobago,Democratic,Developing
Tunisia,Democratic,Developing
Turkey,Non-Democratic,Developing
Turkmenistan,Non-Democratic,Developing
Tuvalu,Non-Democratic,Developing
Uganda,Non-Democratic,Developing
Ukraine,Non-Democratic,Developing
Unified Team,Non-Democratic,Developed
United Arab Emirates,Non-Democratic,Developing
United States,Democratic,Developed
United states Virgin Islands,Non-Democratic,Developed
Uraguay,Non-Democratic,Developed
Uzbekistan,Non-Democratic,Developing
Vanuatu,Non-Democratic,Developing
Venezuela,Non-Democratic,Developing
Vietnam,Non-Democratic,Developing
Yemen,Non-Democratic,Developing
liberia,Non-Democratic,Developed
